Data;Cidade;Localidade;Tipo de Ação;Pauta;Tratativa;Área Temática;MicroCategoria;Público Alvo;Status;Classificação;Individual/Coletiva
18/09/2024;São Joaquim De Bicas;Residencial Fhemig;Reunião devolutiva;Reunião devolutiva referente aos estudos e monitoramento da biodiversidade e qualidade da água do rio Paraopeba. ;Iniciativa Vale;Comunicação Social;Uso/qualidade da água do rio Paraopeba;Comunidade em Geral;Não se aplica;PRSA;Coletiva
26/09/2024;Betim;PA 2 de julho;Reunião devolutiva;Reunião devolutiva referente aos estudos e monitoramento da biodiversidade e qualidade da água do rio Paraopeba. ;Iniciativa Vale;Comunicação Social;Uso/qualidade da água do rio Paraopeba;Comunidade em Geral;Não se aplica;PRSA;Coletiva
07/10/2024;Juatuba;Ponte Nova;Reunião devolutiva;Reunião devolutiva referente aos estudos e monitoramento da biodiversidade e qualidade da água do rio Paraopeba. ;Iniciativa Vale;Comunicação Social;Uso/qualidade da água do rio Paraopeba;Comunidade em Geral;Não se aplica;PRSA;Coletiva
14/10/2024;Esmeraldas;Bambus;Reunião de devolutiva;Reunião devolutiva referente aos estudos e monitoramento da biodiversidade e qualidade da água do rio Paraopeba. ;Iniciativa Vale;Comunicação Social;Uso/qualidade da água do rio Paraopeba;Comunidade em Geral;Não se aplica;PRSA;Coletiva
23/10/2024;Betim;Colônia Santa Izabel;Reunião devolutiva;Reunião devolutiva referente aos estudos e monitoramento da biodiversidade e qualidade da água do rio Paraopeba. ;Iniciativa Vale;Comunicação Social;Uso/qualidade da água do rio Paraopeba;Comunidade em Geral;Não se aplica;PRSA;Coletiva
06/11/2024;Mário Campos;Funil, Campo Verde, Reta do Jacaré, Reta I e II, Vila das Amoreiras;Reunião devolutiva;Reunião devolutiva referente aos estudos e monitoramento da biodiversidade e qualidade da água do rio Paraopeba. ;Iniciativa Vale;Comunicação Social;Uso/qualidade da água do rio Paraopeba;Comunidade em Geral;Não se aplica;PRSA;Coletiva
19/11/2024;Esmeraldas;Taquaras ;Alinhamento com a liderança local para entrega dos laudos de amostragem do solo. ;Realizado. ;Iniciativa Vale;Uso/qualidade do solo;Uso/qualidade do solo;Lideranças;Não se aplica;PRSA;Individual
19/11/2024;Esmeraldas;Taquaras;Entrega do laudo do estudo do solo. ;Entregue;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Não se aplica;PRSA;Individual
19/11/2024;Esmeraldas;Taquaras;Entrega do laudo do estudo do solo. ;Entregue;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Não se aplica;PRSA;Individual
19/11/2024;Esmeraldas;Taquaras;Entrega do laudo do estudo do solo. ;Entregue;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Não se aplica;PRSA;Individual
19/11/2024;Esmeraldas;Taquaras;Entrega do laudo do estudo do solo. ;Entregue;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Não se aplica;PRSA;Individual
21/11/2024;Esmeraldas;Taquaras;Entrega do laudo do estudo do solo;Entregue;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Não se aplica;PRSA;Individual
21/11/2024;Esmeraldas;Taquaras;Entrega do laudo do estudo do solo;Entregue;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Não se aplica;PRSA;Individual
21/11/2024;Esmeraldas;Taquaras;Entrega do laudo do estudo do solo;Entregue;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Não se aplica;PRSA;Individual
22/11/2024;Esmeraldas;Taquaras;Entrega do laudo do estudo do solo;Entregue;Demanda de Órgão Público;Uso/qualidade do solo;Uso/qualidade do solo;Comunidade em Geral;Em análise;PRSA;Individual
