Data;Cidade;Localidade;Tipo de Ação;Pauta;Tratativa;Origem;Área Temática;MicroCategoria;Público Alvo;Status;"Data do Atendimento
(se atendida)"
23/04/2024;São Gonçalo Do Abaeté;Beira Rio;Atendimento individual virtual ou por telefone ;Divulgação dos cursos profissionalizantes do programa de educação profissional do Acordo judicial de reparação integral.;Os cursos profissionalizante ofertados no momento são Assistente Administrativo e Administrador de Banco de Dados. Esses cursos fazem parte do pacote de respostas rápidas do acordo judicial de reparação integral.;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Respondida;24/04/2024
15/03/2024;Mário Campos;Funil;Reunião comunidade virtual ;Após uma manifestação do superficiário, com apresentação de queixa da redução da quantidade de fornecimento de feno, realizamos uma reunião de alinhamento para entender a justificativa da redução. ;Rever os  últimos relatórios de visitas realizadas na propriedade do superficiário. Identificar  o fator de justificativa da redução do fornecimento do feno.  ;Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Comunidade em Geral;Em análise;
18/03/2024;Esmeraldas;São Jose;Atendimento individual presencial ;Visita para revisão cadastral dos atendimentos agropecuários  e verificação de solictação de manutenção de via. ;Visita realizada, manutenção será inserida no cronograma. ;Solicitação Comunidade ;Atendimento Emergencial;Obras - estradas e vias;Comunidade em Geral;Em atendimento;24/04/2024
21/03/2024;Brumadinho;Conceição De Itaguá;Atendimento individual presencial ;Visita com equipe de agro para atualização de entrega de silagem.;Realizada troca de titularidade para entrega.;Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Comunidade em Geral;Atendida;07/05/2024
26/03/2024;São Joaquim De Bicas;Fhemig;Atendimento individual virtual ou por telefone ;Atraso na entrega da ração animal;Demanda recebida e encaminhada ao time da Agroepcuária da Vale, para entendimento do atraso e solicitação da entrega de forma imediata.;Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Comunidade em Geral;Respondida;13/05/2024
10/06/2024;Curvelo;Sede;Reunião comunidade virtual ;Participação na aula inaugural do curso Microempreendedor Individual (EAD), oferecido através do programa de educação profissional, dentro do pacote de respostas rápidas do AJRI.;Este curso profissionalizante de Microempreendedor Individual, gratuito com bolsa-auxílio, é parte do acordo de reparação integral assinado em 2021 pela Vale, Governo do Estado de Minas Gerais, pelos Ministérios Públicos Federal e do Estado de Minas Gerais e pela Defensoria Pública de Minas Gerais para a reparação dos danos causados pelo rompimento da barragem de Brumadinho.;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Respondida;10/06/2024
17/06/2024;Curvelo;Sede;Reunião comunidade presencial ;Participação na aula inaugural do curso Cuidador de Idosos, oferecido através do programa de educação profissional, dentro do pacote de respostas rápidas do AJRI.;Este curso profissionalizante de Cuidador de Idosos, gratuito com bolsa-auxílio, é parte do acordo de reparação integral assinado em 2021 pela Vale, Governo do Estado de Minas Gerais, pelos Ministérios Públicos Federal e do Estado de Minas Gerais e pela Defensoria Pública de Minas Gerais para a reparação dos danos causados pelo rompimento da barragem de Brumadinho.;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Respondida;17/06/2024
18/06/2024;Três Marias;Sede;Reunião comunidade presencial ;Participação na aula inaugural dos cursos Cabeleireiro e Manicure e Pedicure, oferecido através do programa de educação profissional, dentro do pacote de respostas rápidas do AJRI.;Estes cursos profissionalizantes de Cabeleireiro e Manicure e Pedicure, gratuito com bolsa-auxílio, são parte do acordo de reparação integral assinado em 2021 pela Vale, Governo do Estado de Minas Gerais, pelos Ministérios Públicos Federal e do Estado de Minas Gerais e pela Defensoria Pública de Minas Gerais para a reparação dos danos causados pelo rompimento da barragem de Brumadinho.;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Respondida;18/06/2024
02/04/2024;Mário Campos;Fecho Do Funil;Atendimento individual presencial ;Acompanhamento da equipe técnica de agronomia em visita à propriedade do Sr. J.B. para levantamento de informaçõoes da área da propriedade. Na oportunidade foram apresentadas informações sobre a redução da quantidade de entrega de feno, o superficiário havia solicitado esses esclarecimentos  para a RC do território. ;"Alinhamento com equipe de agronomia. 
Agendamento das visitas. ";Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Comunidade em Geral;Atendida;02/04/2024
26/06/2024;São Gonçalo Do Abaeté;Beira Rio;Reunião comunidade presencial ;Participação na aula inaugural do curso Assistente Administrativo, oferecido através do programa de educação profissional, dentro do pacote de respostas rápidas do AJRI.;Este curso profissionalizante de Assistente Administrativo, gratuito com bolsa-auxílio, é parte do acordo de reparação integral assinado em 2021 pela Vale, Governo do Estado de Minas Gerais, pelos Ministérios Públicos Federal e do Estado de Minas Gerais e pela Defensoria Pública de Minas Gerais para a reparação dos danos causados pelo rompimento da barragem de Brumadinho.;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Respondida;26/06/2024
29/07/2024;Curvelo;Sede;Reunião comunidade presencial ;Participação na aula inaugural dos cursos Operador de Computador e Esteticista de Animais domésticos, oferecido através do programa de educação profissional, dentro do pacote de respostas rápidas do AJRI. Na ocasião, visitei, para acompanhamento, o curso profissionalizante, em andamento, cuidador de idosos.;Estes cursos profissionalizantes de Operador de Computador, Esteticista de animais domésticos e cuidador de idosos, gratuitos com bolsa-auxílio, são parte do acordo de reparação integral assinado em 2021 pela Vale, Governo do Estado de Minas Gerais, pelos Ministérios Públicos Federal e do Estado de Minas Gerais e pela Defensoria Pública de Minas Gerais para a reparação dos danos causados pelo rompimento da barragem de Brumadinho.;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Respondida;
06/08/2024;São Joaquim De Bicas;Fhemig;Distribuição de material informativo ;Divulgação do Curso de Capacitação Profissional;Divulgação para a sicnraição do Curso de Capacitação Profissional Confeccionador de Bijuterias pelo AJRI;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Atendida;
12/08/2024;Mateus Leme;Azurita;Atendimento individual virtual ou por telefone ;Divulgação do Curso de Capacitação Profissional;Divulgação para a sicnraição do Curso de Capacitação Profissional Assistente de Contabilidade, Cuidador de Idosos, Cabeleireiro pelo AJRI;Solicitação Comunidade ;AJRI;Programa de Educação Profissional;Comunidade em Geral;Atendida;
19/08/2024;Curvelo;Sede;Reunião comunidade presencial ;Curso profissionalizante do programa de educação profissional do Acordo Judicial de Reparação Integral.;Acompanhamento da aula dos cursos Esteticista de animais domésticos e Operador de Computador, oferecido através do programa de educação profissional, dentro do pacote de respostas rápidas do AJRI. Estes cursos profissionalizantes, gratuito com bolsa-auxílio, faz parte do acordo de reparação integral assinado em 2021 pela Vale, Governo do Estado de Minas Gerais, pelos Ministérios Públicos Federal e do Estado de Minas Gerais e pela Defensoria Pública de Minas Gerais para a reparação dos danos causados pelo rompimento da barragem de Brumadinho.;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Respondida;
20/08/2024;Três Marias;Sede;Reunião comunidade presencial ;Curso profissionalizante do programa de educação profissional do Acordo Judicial de Reparação Integral.;Acompanhamento da aula dos cursos Cabeleireiro e Manicure e Pedicure, oferecido através do programa de educação profissional, dentro do pacote de respostas rápidas do AJRI. Estes cursos profissionalizantes, gratuito com bolsa-auxílio, faz parte do acordo de reparação integral assinado em 2021 pela Vale, Governo do Estado de Minas Gerais, pelos Ministérios Públicos Federal e do Estado de Minas Gerais e pela Defensoria Pública de Minas Gerais para a reparação dos danos causados pelo rompimento da barragem de Brumadinho.;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Respondida;
27/08/2024;Esmeraldas;Padre João;Reunião comunidade presencial ;Aula inaugural do curso de maquiagem;Realizado ;Solicitação Comunidade ;AJRI;Programa de Educação Profissional;Comunidade em Geral;Não se aplica;
17/09/2024;Mário Campos;Sede;Atendimento individual presencial ;Aula Inaugural de curso do AJRI;Participação da aula inaugural do curso de assistente administrativo ;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Atendida;
23/05/2024;Esmeraldas;Taquaras;Atendimento individual virtual ou por telefone ;Reclama que a quantidade de silo fornecida pela vale tem sido insuficiente. ;Foi verificado junto ao setor de agropecuárua e o fornecimento está de acordo com a recomendação técnica. ;Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Comunidade em Geral;Respondida;23/05/2024
29/05/2024;Betim;Charneca;Atendimento individual presencial ;Acompanhamento Visita Técnica;Acompanhamento de visita técnica para atender a solicitação da sra. M.I.S, referente a alimentação animal (feno).;Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Lideranças;Em análise;29/05/2024
11/06/2024;Brumadinho;Varjão Ii;Atendimento individual virtual ou por telefone ;Tratativas relacionadas a entrega da alimentação animal em propriedade com acesso impactado por conta das obras da COPASA;Acolhimento de demanda do superficiário para alteração provisória do local de entrega da silagem.;Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Comunidade em Geral;Atendida;11/06/2024
16/12/2024;São Joaquim De Bicas;Sede;Atendimento individual presencial ;Visita ao Programa de Educação Profissional - Curso de Chaveiro;Visita ao curso de Chaveiro no município de São Joaquim de Bicas, viabilizado pelo AJRI;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Em atendimento;
11/02/2025;Mateus Leme;Sede;Atendimento individual presencial ;Aula Inaugural - Padeiro - AJRI;Participamos da aula inaugural do curso de Padeiro em Mateus Leme, iniciaitva do Pacote de Respostas Rápidas - AJRI;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Atendida;11/02/2025
11/02/2025;Esmeraldas;São José;Atendimento individual virtual ou por telefone ;Solicita informações sobre os cursos profissionalizantes ofertados pelo AJRI.;Divulgado os cursos que estão com inscrições abertas. ;Solicitação Comunidade ;AJRI;Programa de Educação Profissional;Comunidade em Geral;Respondida;13/02/2025
17/02/2025;São Gonçalo Do Abaeté;Beira Rio;Reunião comunidade presencial ;Programa de Educação Profissional AJRI;Participação da aula inaugural dos cursos Auxiliar pedagógico e Manicure e Pedicure, oferecido através do programa de educação profissional, dentro do pacote de respostas rápidas do AJRI. Estes cursos profissionalizantes, gratuito com bolsa-auxílio, faz parte do acordo de reparação integral assinado em 2021 pela Vale, Governo do Estado de Minas Gerais, pelos Ministérios Públicos Federal e do Estado de Minas Gerais e pela Defensoria Pública de Minas Gerais para a reparação dos danos causados pelo rompimento da barragem de Brumadinho.;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Respondida;17/02/2025
04/07/2024;Florestal;Tapera;Atendimento individual presencial ;Visita com equipe de agropecuária, referente a solicitação de abastecimento de água e instalação de bebedouro. ;Abastecimento será incluso na manutenção. ;Solicitação Comunidade ;Atendimento Emergencial;Água para dessedentação animal;Comunidade em Geral;Em atendimento;
20/02/2025;São Joaquim De Bicas;Sede;Atendimento individual presencial ;Formatura dos Cursos Profissionalizantes;Formatura dos 91 alunos dos cursos: Aux. Administrativo, Aux. De Contabilidade, Cabeleireiro, Chaveiro, Cuidador de Idosos, Montador e Reparador de Computador;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Atendida;20/02/2025
25/07/2024;Esmeraldas;Vinhático;Atendimento individual presencial ;Visita com equipe agropecuária referente a solicitação de alimentação animal para cavalos, gado, galinhas e cachorros. ;Solicitação será analisada pela área de agropecuária.;Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Comunidade em Geral;Em análise;
17/09/2024;Brumadinho;Conceição De Itaguá;Atendimento individual presencial ;Atividades de Revegetação de área impactada por obras;Realização de visita ao superficiário para acolhimento de demanda referente à especie que será utilizada no processo de revetação de área impactada pelas obras da adutora na propriedade.;Solicitação Comunidade ;Atendimento Emergencial;Revegetação;Comunidade em Geral;Atendida;
13/11/2024;Maravilhas;Propriedade Rural;Atendimento individual presencial ;Avaliação de elegibilidade;"Sr. M. solicitou visita técnica para avaliar sua elegibilidade para atendimento emergencial Vale e direito a recebimento do PTR.
Durante a visita foi identificado a enegibilidade de atendimento visto o não uso do rio Paraopeba e a propriedade não ter margens e uso dele.
Quanto ao recebimento do PTR, lhe foi orientado entrar em contato com a equipe da Fundação Getúlio Vargas - FGV.";Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Comunidade em Geral;Respondida;
19/03/2025;Juatuba;Canaã;Reunião comunidade presencial ;Aula Inaugural Curso Manicure e Pedicure;Esse curso, faz parte do Acordo de Reparação Integral, foram disponibilizadas 20 vagas, todas preenchidas e tem uma durabilidade  de 2 meses.  ;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Em atendimento;19/03/2025
19/03/2025;Juatuba;Centro;Reunião comunidade presencial ;Aula Inaugural Curso Operador de Computador;Esse curso, faz parte do Acordo de Reparação Integral, foram disponibilizadas 23 vagas, todas preenchidas e tem uma durabilidade  de 2 meses.  ;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Em atendimento;19/03/2025
18/12/2024;Esmeraldas;Padre João;Atendimento individual presencial ;Acompanhamento de visita para atualização dos dados referente aos atendimentos emergenciais. ;Realizado. ;Solicitação Comunidade ;Atendimento Emergencial;Outros;Comunidade em Geral;Não se aplica;
23/01/2025;Fortuna De Minas;Peixe Bravo;Atendimento individual presencial ;Atendimento Emergêncial ;Realizada visita técnica para avaliação de solicitação de alimentação animal.;Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Comunidade em Geral;Atendida;23/01/2025
31/03/2025;Mateus Leme;Sede;Atendimento individual presencial ;Programa Educação Profissional - Acompanhamento do  Curso de Padeiro em Mateus Leme - AJRI; Acompanhamento do curso de padeiro no municipio de Mateus Leme, onde temos 8 participantes engajados e assídusos ao conhecimento. Essa ação faz parte do Pacote de Respostas Rápidas do AJRI.;Demanda de Órgão Público;AJRI;Programa de Educação Profissional;Comunidade em Geral;Atendida;31/03/2025
27/01/2025;Pompéu;Recanto Do Sucupira;Atendimento individual presencial ;Visitas junto ao técnico da MNC-Agro, para atualização e esclarecimento de informações, após abertura de protocolos por parte de alguns moradores da localidade.;Repasse de esclarecimentos após abertura de protocolos por parte de alguns moradores da localidade, referente aos atendimentos prestados.;Solicitação Comunidade ;Atendimento Emergencial;Outros;Comunidade em Geral;Atendida;27/12/2025
11/02/2025;Paraopeba;Propriedade Rural;Atendimento individual virtual ou por telefone ;Água para dessedentação animal;Sr. A solicita atendimento para seu rebanho, o qual informa estar retoamando suas atividades na propriedade. Por esse motivo necessita de mais água para o gado.;Solicitação Comunidade ;Atendimento Emergencial;Água para dessedentação animal;Comunidade em Geral;Atendida;11/02/2025
13/02/2025;Curvelo;Angueretá;Atendimento individual presencial ;Atendimento agrocupeário em propriedade rural;Reunião para esclarecimentos de dúvidas sobre o fornecimento da silagem e a troca do fornecedor. Durante o superficiário apresentou suas dúvidas e todas foram esclarecidas.;Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Comunidade em Geral;Respondida;13/02/2025
14/02/2025;Paraopeba;Propriedade Rural;Atendimento individual virtual ou por telefone ;Alimentação animal;Sr. A. solicita alimentação animal para seus equinos, sendo feno o insumo pedido. Este atendimento foi concluído por ligação telefônica explicado ao produtor o critério para substituição da silagem por feno, como sendo possível. Na ocasião sr. A. ficou de retornar com o pedido informando a quantidade de animais.;Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Comunidade em Geral;Respondida;14/02/2025
10/01/2024;Brumadinho;Tejuco;Distribuição de material informativo ;Informativo enviado para a Comunidade informando o início dos trabalhos de sondagem na praça do Tejuco - AJRI;Informativo enviado para a Comunidade informando o início dos trabalhos de sondagem na praça do Tejuco - AJRI;Solicitação Comunidade ;AJRI;Obras - outros;Comunidade em Geral;Atendida;Atendida
28/03/2025;Paraopeba;Propriedade Rural;Atendimento individual virtual ou por telefone ;Sr. C. pede informações sobre a entrega de silagem para a fazenda a qual gerencial.;Verificado internamente, foi informado para o sr. C. que a entrega está prevista para o dia seguinte deste contato, já na programação do fornecedor.;Solicitação Comunidade ;Atendimento Emergencial;Alimentação para animais produtivos;Comunidade em Geral;Respondida;28/03/2025
03/01/2024;Esmeraldas;Taquaras;Atendimento individual virtual ou por telefone ;Reclama que a bomba do resevatório parou de funcionar. ;Foi solicitada uma nova bomba para substituição. ;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Em atendimento;Em atendimento
04/01/2024;Brumadinho;Tejuco;Atendimento individual presencial ;Moradora Edilene Café solicitou que caminhão pipa para abastecer a caixa d’agua, uma vez que estava sem água.;Equipe do Saneamento atendeu  de imediato;Solicitação Comunidade ;Atendimento Emergencial;Água para uso doméstico;Comunidade em Geral;Atendida;Atendida
08/01/2024;Betim;Comunidade Assentamento 02 De Julho;Atendimento individual presencial ;Acompanhar time da Infra na inspeção dos acessos para Perfuração dos Poços Tubulares, que está sendo executada pela área de Saneamento;Inspeção dos acessos nas seis propriedades que receberão a Perfuração dos Poços Tubulares.;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Em atendimento;Em atendimento
15/01/2024;Betim;Comunidade Assentamento 02 De Julho;Atendimento individual virtual ou por telefone ;Agendar reunião com a comunidade para alinhamento sobre o inicio das Perfuração dos Poços Tubalares e esclarecimentos de dúvidas.;Realizar reunião no dia 23/01/2024, com a comunidade para reforça sobre os seis pontos que receberão os poços tubulares, explicaremos sobre o processo após as perfurações e alinhamento com o INCRA;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Em atendimento;Em atendimento
23/01/2024;Brumadinho;Tejuco;Reunião comunidade presencial ;"Acompanhamento da obra da Rua Cruzeiro no Tejuco  para instalação do reservatório e do Deck na residência do Sr. Clever. Contatado o responsável pela obra para entendimento e consequente
Inelegibilidade de atendimento que resultou na instalação de um reservatório de 5 mil litros e um deck de madeira em uma residência na Rua Cruzeiro provocou repercussão negativa com os moradores do território. 23 de Janeiro 2024
";"Acompanhamento da obra da Rua Cruzeiro no Tejuco  para instalação do reservatório e do Deck na residência do Sr. Clever. Contatado o responsável pela obra para entendimento e consequente
Inelegibilidade de atendimento que resultou na instalação de um reservatório de 5 mil litros e um deck de madeira em uma residência na Rua Cruzeiro provocou repercussão negativa com os moradores do território. 23 de Janeiro 2024
";Solicitação Comunidade ;Atendimento Emergencial;Outros;Comunidade em Geral;Em análise;Em análise
23/01/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual virtual ou por telefone ;Solicitação de entrega de água mineral;entrega realizada;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Atendida;Atendida
23/01/2024;São José Da Varginha;Fundão;Atendimento individual presencial ;Instalação de reservatórios de água.;Realizado visita para alinhamento sobre as obras de instalação dos reservatórios de água potável.;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Em análise;Em análise
02/02/2024;Paraopeba;Propriedade Rural;Atendimento individual virtual ou por telefone ;Agendamento de visita técnica equipe Saneamento;Contato com sr. B. para agendar visita técnica no intúito de esclarecer demanda do sistema de filtragem instalado em sua propriedade, o qual solicita desmobilização.;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Em análise;Em análise
06/02/2024;Brumadinho;Tejuco;Reunião comunidade presencial ;"Foi solicitado pelo moradora ""C"" que a equipe de saneamento instalasse uma medida paliativa para tentar otimizar o abastecimento na residência do  morador C.. Instalando em um tambor que ele possui um sistema de bóia mecânica. Será avaliado e, se positivo e efetivo, será necessário a instalação do reservatório de 5 mil litros. ​";Equipe de saneamento instalou uma medida paliativa para tentar otimizar o abastecimento na residência do  morador C. Instalando em um tambor que ele possui um sistema de bóia mecânica. Será avaliado e, se positivo e efetivo, será necessário a instalação do reservatório de 5 mil litros. ​;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Atendida;Atendida
06/02/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual virtual ou por telefone ;Agradecimento pela entrega de água mineral e atendimento;Moradora agradeceu pelo atendimento relativo à entrega de água;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Atendida;Atendida
15/02/2024;Mário Campos;Reta 2;Atendimento individual presencial ;"Após uma manifestação do superficiário, realizamos uma visita na propriedade do Sr. J.R. para verificar o nível de água dos reservatórios de água da sua propriedade, para avaliação da possibilidade da retomada do abastecimento. Conforme acordado previamente com o agricultor, o abastecimento foi suspenso durante o período chuvoso.   
  ";Agendamento de visita. Realização da visita. Reunião de alinhamento para devolutiva ao analista de Meio Ambiente. Valiação da área Responsável  e posterior devolutiva ao superficiário ;Solicitação Comunidade ;Atendimento Emergencial;Água cuja finalidade não foi especificada;Comunidade em Geral;Em análise;Em análise
20/02/2024;Betim;Assentamento 02 De Julho;Atendimento individual presencial ;Foi solicitado um esclarecimento para dois moradores sobre as ações para processo de perfuração dos poços no Assentamento 02 de Julho.;A equipe de RC do Território pode esclarecer sobre o processo de perfuração dos poços no Assentamento 02 de Julho, e deixa-los alinhado sobre os próximos passos.;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Atendida;Atendida
21/02/2024;São Joaquim De Bicas;Fhemig;Atendimento individual virtual ou por telefone ;Solicitação de reunião entre Vale, comunidade e Defensoria Publica;Liderança Sr. J.R, solicita que a vale realize uma reunião com a comunidade e Defensoria Pública para tratarmos sobre questão de saneamento na comunidade. Está em análise.;Solicitação Comunidade ;Atendimento Emergencial;Comunicação Social;Lideranças;Em análise;Em análise
22/02/2024;Betim;Assentamento 02 De Julho;Atendimento individual virtual ou por telefone ;Solicitação de reunião para esclarecimento sobre os poços que serão perfurados.;RC e liderança articulam  data para realização de reunião para esclarecimento sobre o poço PA -04, para os moradores do Furtado.;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Em atendimento;Em atendimento
22/02/2024;São Joaquim De Bicas;Fhemig;Atendimento individual virtual ou por telefone ;Solciitação de entrega de água;Liderança solicita que a Vale realize a entrega de água para a familia da. Sr. D.M.;Solicitação Comunidade ;Atendimento Emergencial;Água cuja finalidade não foi especificada;Lideranças;Atendida;Atendida
26/02/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual virtual ou por telefone ;Solicitação de água potável;Encaminhado para a área responsável;Solicitação Comunidade ;Atendimento Emergencial;Água para uso doméstico;Comunidade em Geral;Atendida;Atendida
27/02/2024;Mário Campos;Reta 02;Atendimento individual presencial ;Visita à propriedade do Sr. J.R. para verificação da necessidade de abstecimento  dos reservatórios de água que foram instalados na propriedade pela vale. Após avaliação da equipe de agropecuária, o abastecimento foi temporariamente suspenso durante o período de chuvas.  ;Solicitar para a equipe de agropecuária uma nova avalição sobre a suspensão temporária do fornecimento de água. Enviar os registros fotográficos da visita para a equipe de agropecuária. Aguardar devolutiva da área técnica para informar ao superficíário se a solicitação será ou não atendida. ;Solicitação Comunidade ;Atendimento Emergencial;Água cuja finalidade não foi especificada;Comunidade em Geral;Em análise;Em análise
